,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-04,VMEO,"Vimeo, Inc.",24.49,-10.53,-30.07,4.032B,40.83299305839118
1,2021-11-04,LSPD,Lightspeed Commerce Inc.,71.36,-27.61,-27.9,10.521B,14.013452914798206
2,2021-11-04,QRTEA,"Qurate Retail, Inc.",8.22,-3.1,-27.39,3.349B,121.654501216545
3,2021-11-04,QRTEB,"Qurate Retail, Inc.",8.75,-2.71,-23.65,3.5B,114.28571428571429
4,2021-11-04,PENN,"Penn National Gaming, Inc.",57.4,-15.33,-21.08,9.707B,17.421602787456447
5,2021-11-04,RCII,"Rent-A-Center, Inc.",45.11,-10.17,-18.4,2.998B,22.168033695411218
6,2021-11-04,MRNA,"Moderna, Inc.",284.02,-61.9,-17.89,114.644B,3.5208788113513134
7,2021-11-04,NEO,"NeoGenomics, Inc.",38.35,-8.18,-17.58,4.716B,26.07561929595828
8,2021-11-04,MGNI,"Magnite, Inc.",22.9,-4.4,-16.12,3.006B,43.66812227074236
9,2021-11-04,ALXO,ALX Oncology Holdings Inc.,52.35,-9.58,-15.47,2.112B,19.10219675262655
10,2021-11-04,DISH,DISH Network Corporation,37.08,-6.01,-13.95,19.574B,26.96871628910464
11,2021-11-04,MTTR,"Matterport, Inc.",20.32,-3.26,-13.83,4.917B,49.21259842519685
12,2021-11-04,QRVO,"Qorvo, Inc.",154.46,-23.66,-13.28,17.167B,6.474168069403081
13,2021-11-04,NRG,"NRG Energy, Inc.",35.56,-4.44,-11.1,8.704B,28.121484814398197
14,2021-11-04,REGI,"Renewable Energy Group, Inc.",59.24,-6.82,-10.32,2.976B,16.88048615800135
15,2021-11-04,CAR,"Avis Budget Group, Inc.",272.14,-25.95,-8.71,15.362B,3.674579260674653
16,2021-11-04,SKLZ,Skillz Inc.,11.4,-1.06,-8.51,4.594B,87.71929824561403
17,2021-11-04,MDU,"MDU Resources Group, Inc.",28.45,-2.64,-8.49,5.759B,35.1493848857645
18,2021-11-04,MQ,"Marqeta, Inc.",28.23,-2.58,-8.37,15.227B,35.423308537017355
19,2021-11-04,NPNYY,Nippon Yusen Kabushiki Kaisha,13.78,-1.23,-8.19,11.634B,72.5689404934688
20,2021-11-04,NVAX,"Novavax, Inc.",179.41,-15.79,-8.09,13.363B,5.573825316314587
21,2021-11-04,FRSH,Freshworks Inc.,39.59,-3.47,-8.06,11.142B,25.258903763576658
22,2021-11-04,KTOS,"Kratos Defense & Security Solutions, Inc.",21.44,-1.84,-7.9,2.658B,46.64179104477612
23,2021-11-04,NETTF,"NetEase, Inc.",20.25,-1.71,-7.78,67.943B,49.382716049382715
24,2021-11-04,ROKU,"Roku, Inc.",289.39,-24.27,-7.74,38.619B,3.455544421023532
