,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-09,AMRS,"Amyris, Inc.",7.96,-5.02,-38.67,2.414B,125.62814070351759
1,2021-11-09,ARVL,Arrival,12.88,-4.91,-27.6,7.991B,77.63975155279503
2,2021-11-09,LFST,"LifeStance Health Group, Inc.",9.73,-3.1,-24.16,3.64B,102.7749229188078
3,2021-11-09,NVTA,Invitae Corporation,20.53,-5.74,-21.85,4.462B,48.70920603994155
4,2021-11-09,OSH,"Oak Street Health, Inc.",37.14,-9.75,-20.79,8.946B,26.925148088314486
5,2021-11-09,FRPT,"Freshpet, Inc.",125.95,-24.49,-16.28,5.461B,7.939658594680429
6,2021-11-09,SITM,SiTime Corporation,243.94,-47.4,-16.27,4.697B,4.099368697220628
7,2021-11-09,HAE,Haemonetics Corporation,60.2,-10.93,-15.37,3.072B,16.611295681063122
8,2021-11-09,ALKS,Alkermes plc,24.83,-4.5,-15.34,4.015B,40.27386226339106
9,2021-11-09,CRON,Cronos Group Inc.,5.7,-1.01,-15.05,2.119B,175.43859649122805
10,2021-11-09,CAR,"Avis Budget Group, Inc.",249.68,-43.42,-14.81,14.094B,4.005126561999359
11,2021-11-09,DDD,3D Systems Corporation,29.01,-4.87,-14.37,3.707B,34.47087211306446
12,2021-11-09,DSEY,"Diversey Holdings, Ltd.",14.71,-2.3,-13.52,4.449B,67.98096532970767
13,2021-11-09,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,121.72,-18.05,-12.91,7.961B,8.21557673348669
14,2021-11-09,NEGG,"Newegg Commerce, Inc.",16.39,-2.43,-12.91,6.036B,61.01281269066504
15,2021-11-09,BLDP,Ballard Power Systems Inc.,16.91,-2.43,-12.56,5.033B,59.13660555884092
16,2021-11-09,SAVA,"Cassava Sciences, Inc.",78.41,-11.08,-12.38,3.138B,12.753475322025253
17,2021-11-09,AMC,"AMC Entertainment Holdings, Inc.",39.93,-5.13,-11.38,20.497B,25.043826696719258
18,2021-11-09,MWA,"Mueller Water Products, Inc.",15.43,-1.87,-10.82,2.447B,64.80881399870383
19,2021-11-09,LMND,"Lemonade, Inc.",62.94,-7.56,-10.72,3.874B,15.888147442008263
20,2021-11-09,PYPL,"PayPal Holdings, Inc.",205.42,-24.0,-10.46,241.375B,4.868075163080518
21,2021-11-09,PTRA,Proterra Inc.,11.21,-1.3,-10.39,2.38B,89.20606601248885
22,2021-11-09,TRIP,"TripAdvisor, Inc.",31.33,-3.54,-10.15,4.305B,31.91828917969997
