,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-22,AUPH,Aurinia Pharmaceuticals Inc.,19.65,-8.82,-30.98,2.548B,50.890585241730285
1,2021-11-22,ASAN,"Asana, Inc.",106.09,-31.1,-22.67,19.51B,9.425959091337543
2,2021-11-22,CRNC,Cerence Inc.,82.59,-21.47,-20.63,3.139B,12.108003390240949
3,2021-11-22,DOCN,"DigitalOcean Holdings, Inc.",102.82,-25.71,-20.0,11.224B,9.725734292939118
4,2021-11-22,IONQ,"IonQ, Inc.",23.18,-4.83,-17.24,4.462B,43.14063848144953
5,2021-11-22,RXRX,"Recursion Pharmaceuticals, Inc.",16.65,-3.16,-15.95,2.814B,60.06006006006007
6,2021-11-22,SPT,"Sprout Social, Inc.",109.51,-19.72,-15.26,5.914B,9.131586156515386
7,2021-11-22,FTCH,Farfetch Limited,33.61,-5.65,-14.39,12.473B,29.753049687592977
8,2021-11-22,PACB,"Pacific Biosciences of California, Inc.",22.68,-3.79,-14.32,5.003B,44.091710758377424
9,2021-11-22,DLO,DLocal Limited,32.1,-4.97,-13.41,9.47B,31.15264797507788
10,2021-11-22,TIL,"Instil Bio, Inc.",19.3,-2.94,-13.22,2.488B,51.81347150259067
11,2021-11-22,ONEM,"1Life Healthcare, Inc.",17.27,-2.54,-12.82,3.297B,57.903879559930516
12,2021-11-22,ZLAB,Zai Lab Limited,73.65,-10.5,-12.48,7.323B,13.57773251866938
13,2021-11-22,SITM,SiTime Corporation,252.06,-35.53,-12.35,5.181B,3.967309370784734
14,2021-11-22,YOU,"Clear Secure, Inc.",33.88,-4.69,-12.16,2.552B,29.515938606847694
15,2021-11-22,DH,Definitive Healthcare Corp.,30.62,-4.14,-11.91,2.703B,32.65839320705421
16,2021-11-22,VTEX,VTEX,13.89,-1.86,-11.81,2.641B,71.99424046076314
17,2021-11-22,NET,"Cloudflare, Inc.",186.45,-24.59,-11.65,59.99B,5.363368195226602
18,2021-11-22,MNDY,monday.com Ltd.,328.41,-42.84,-11.54,14.358B,3.0449742699674185
19,2021-11-22,GLBE,Global-e Online Ltd.,57.4,-7.48,-11.53,8.36B,17.421602787456447
20,2021-11-22,SI,Silvergate Capital Corporation,194.77,-24.98,-11.37,5.18B,5.134260923140114
21,2021-11-22,TWST,Twist Bioscience Corporation,98.17,-12.45,-11.25,4.839B,10.186411327289395
22,2021-11-22,STNE,StoneCo Ltd.,17.01,-2.12,-11.08,5.255B,58.78894767783656
23,2021-11-22,DOMO,"Domo, Inc.",75.13,-9.33,-11.05,2.416B,13.310262212165581
24,2021-11-22,SANA,"Sana Biotechnology, Inc.",19.0,-2.31,-10.84,3.588B,52.63157894736842
