,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-16,RSKD,Riskified Ltd.,12.9,-4.78,-27.04,2.033B,77.51937984496124
1,2021-11-16,CTOS,"Custom Truck One Source, Inc.",9.61,-1.56,-13.97,2.363B,104.0582726326743
2,2021-11-16,EVCM,EverCommerce Inc.,17.52,-2.53,-12.62,3.423B,57.077625570776256
3,2021-11-16,RIOT,"Riot Blockchain, Inc.",36.9,-5.19,-12.33,3.541B,27.100271002710027
4,2021-11-16,STEP,StepStone Group Inc.,49.29,-5.7,-10.37,2.747B,20.28809089064719
5,2021-11-16,BRPHF,Galaxy Digital Holdings Ltd.,29.52,-3.38,-10.27,2.901B,33.87533875338753
6,2021-11-16,DDL,Dingdong (Cayman) Limited,26.27,-2.96,-10.13,6.201B,38.06623524933384
7,2021-11-16,DH,Definitive Healthcare Corp.,39.58,-4.34,-9.88,3.493B,25.265285497726126
8,2021-11-16,WK,Workiva Inc.,143.2,-15.44,-9.73,7.283B,6.983240223463688
9,2021-11-16,YOU,"Clear Secure, Inc.",40.13,-4.28,-9.64,3.028B,24.919013207076997
10,2021-11-16,QS,QuantumScape Corporation,36.91,-3.67,-9.04,15.598B,27.0929287455974
11,2021-11-16,CLOV,"Clover Health Investments, Corp.",6.94,-0.62,-8.2,2.919B,144.0922190201729
12,2021-11-16,VYGVF,Voyager Digital Ltd.,16.81,-1.47,-8.05,2.728B,59.488399762046406
13,2021-11-16,GGAL,Grupo Financiero Galicia S.A.,10.5,-0.89,-7.81,3.252B,95.23809523809524
14,2021-11-16,RELY,"Remitly Global, Inc.",28.36,-2.31,-7.53,4.577B,35.26093088857546
15,2021-11-16,NCLH,Norwegian Cruise Line Holdings Ltd.,23.64,-1.87,-7.33,8.748B,42.301184433164124
16,2021-11-16,BLND,"Blend Labs, Inc.",12.05,-0.93,-7.16,2.769B,82.9875518672199
17,2021-11-16,JRONY,"Jerónimo Martins, SGPS, S.A.",43.18,-3.32,-7.14,14.428B,23.158869847151458
18,2021-11-16,FSLR,"First Solar, Inc.",104.49,-7.82,-6.96,11.11B,9.570293808019906
19,2021-11-16,NTCO,Natura &Co Holding S.A.,11.15,-0.83,-6.93,7.689B,89.68609865470852
20,2021-11-16,ERJ,Embraer S.A.,15.63,-1.16,-6.91,2.876B,63.97952655150352
21,2021-11-16,WEBR,Weber Inc.,14.5,-1.07,-6.87,4.164B,68.96551724137932
22,2021-11-16,RLX,RLX Technology Inc.,4.66,-0.34,-6.8,7.32B,214.59227467811158
23,2021-11-16,AVDX,"AvidXchange Holdings, Inc.",23.71,-1.61,-6.36,4.642B,42.17629692113032
