,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-02,CHGG,"Chegg, Inc.",32.12,-30.64,-48.82,4.647B,31.133250311332507
1,2021-11-02,SABR,Sabre Corporation,9.01,-1.79,-16.57,2.907B,110.98779134295228
2,2021-11-02,OPEN,Opendoor Technologies Inc.,21.12,-3.63,-14.67,12.77B,47.348484848484844
3,2021-11-02,LGIH,"LGI Homes, Inc.",135.89,-18.76,-12.13,3.345B,7.358893222459343
4,2021-11-02,MAX,"MediaAlpha, Inc.",16.0,-2.13,-11.75,963.2M,62.5
5,2021-11-02,ZG,"Zillow Group, Inc.",85.48,-11.13,-11.52,21.763B,11.69864295741694
6,2021-11-02,LDI,"loanDepot, Inc.",7.1,-0.9,-11.25,1.801B,140.84507042253523
7,2021-11-02,ARQQ,Arqit Quantum Inc.,20.4,-2.56,-11.15,2.449B,49.01960784313726
8,2021-11-02,BHG,"Bright Health Group, Inc.",7.61,-0.89,-10.47,4.796B,131.4060446780552
9,2021-11-02,Z,"Zillow Group, Inc.",87.2,-9.95,-10.24,22.077B,11.46788990825688
10,2021-11-02,NBIX,"Neurocrine Biosciences, Inc.",95.58,-10.64,-10.02,9.046B,10.462439840970914
11,2021-11-02,RL,Ralph Lauren Corporation,117.13,-12.62,-9.73,8.61B,8.53752241099633
12,2021-11-02,LOPE,"Grand Canyon Education, Inc.",79.58,-8.54,-9.69,3.426B,12.565971349585324
13,2021-11-02,LEG,"Leggett & Platt, Incorporated",43.54,-4.56,-9.48,5.804B,22.96738631143776
14,2021-11-02,KUASF,Kuaishou Technology,12.15,-1.25,-9.33,48.431B,82.30452674897118
15,2021-11-02,BHC,Bausch Health Companies Inc.,25.87,-2.66,-9.32,9.282B,38.654812524159254
16,2021-11-02,GPN,Global Payments Inc.,132.35,-13.47,-9.24,38.878B,7.555723460521345
17,2021-11-02,MOS,The Mosaic Company,37.64,-3.82,-9.21,14.299B,26.56748140276302
18,2021-11-02,DQ,Daqo New Energy Corp.,68.09,-6.91,-9.21,5.006B,14.686444411807901
19,2021-11-02,TWOU,"2U, Inc.",28.29,-2.85,-9.15,2.111B,35.34817956875221
20,2021-11-02,XMTR,"Xometry, Inc.",50.01,-5.01,-9.11,2.218B,19.996000799840033
21,2021-11-02,IAA,"IAA, Inc.",55.46,-5.37,-8.83,7.476B,18.031013342949873
22,2021-11-02,CIFR,Cipher Mining Inc.,8.99,-0.86,-8.73,2.221B,111.23470522803115
23,2021-11-02,ABG,"Asbury Automotive Group, Inc.",184.88,-17.14,-8.48,3.576B,5.4089138900908695
24,2021-11-02,INCY,Incyte Corporation,63.48,-5.87,-8.46,14.019B,15.75299306868305
