,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-10,FUBO,fuboTV Inc.,25.47,-7.66,-23.12,3.608B,39.26187671770711
1,2021-11-10,MNDY,monday.com Ltd.,350.82,-93.88,-21.11,15.338B,2.8504646257339945
2,2021-11-10,IONQ,"IonQ, Inc.",18.23,-4.3,-19.09,3.509B,54.85463521667581
3,2021-11-10,LPRO,Open Lending Corporation,27.46,-6.4,-18.9,3.465B,36.41660597232338
4,2021-11-10,UPST,"Upstart Holdings, Inc.",256.59,-57.12,-18.21,19.954B,3.8972680151214
5,2021-11-10,TOST,"Toast, Inc.",50.01,-10.74,-17.68,25.135B,19.996000799840033
6,2021-11-10,RXRX,"Recursion Pharmaceuticals, Inc.",16.14,-3.46,-17.65,2.719B,61.95786864931846
7,2021-11-10,GLBE,Global-e Online Ltd.,48.19,-9.43,-16.37,7.018B,20.751193193608632
8,2021-11-10,AFRM,"Affirm Holdings, Inc.",133.53,-24.26,-15.37,37.083B,7.488953793155096
9,2021-11-10,MARA,"Marathon Digital Holdings, Inc.",64.84,-11.25,-14.79,6.46B,15.42257865515114
10,2021-11-10,BRPHF,Galaxy Digital Holdings Ltd.,29.28,-4.65,-13.7,2.859B,34.15300546448087
11,2021-11-10,OLK,Olink Holding AB (publ),25.08,-3.93,-13.55,2.985B,39.87240829346093
12,2021-11-10,NVNXF,Novonix Limited,6.17,-0.95,-13.34,2.977B,162.07455429497568
13,2021-11-10,EYE,"National Vision Holdings, Inc.",55.22,-8.3,-13.07,4.521B,18.109380659181458
14,2021-11-10,RBLX,Roblox Corporation,95.26,-14.26,-13.02,54.789B,10.497585555322276
15,2021-11-10,EVBG,"Everbridge, Inc.",138.32,-20.26,-12.78,5.309B,7.2296124927703875
16,2021-11-10,BAK,Braskem S.A.,18.02,-2.63,-12.74,7.173B,55.49389567147614
17,2021-11-10,SKIN,The Beauty Health Company,25.23,-3.44,-12.0,3.366B,39.63535473642489
18,2021-11-10,AMPL,"Amplitude, Inc.",74.72,-10.08,-11.89,7.674B,13.383297644539615
19,2021-11-10,SAVA,"Cassava Sciences, Inc.",69.4,-9.01,-11.49,2.777B,14.40922190201729
20,2021-11-10,MRTX,"Mirati Therapeutics, Inc.",148.77,-19.07,-11.36,7.709B,6.7217853061773205
21,2021-11-10,ADT,ADT Inc.,8.95,-1.14,-11.3,7.438B,111.731843575419
22,2021-11-10,PRGO,Perrigo Company plc,42.21,-5.22,-11.01,5.644B,23.69106846718787
23,2021-11-10,CERE,"Cerevel Therapeutics Holdings, Inc.",38.67,-4.75,-10.94,5.602B,25.859839668994052
