,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-29,CDNA,"CareDx, Inc",51.0,-19.34,-27.5,2.684B,19.607843137254903
1,2021-10-29,ZEN,"Zendesk, Inc.",101.8,-17.21,-14.46,12.218B,9.82318271119843
2,2021-10-29,SPSC,"SPS Commerce, Inc.",152.73,-20.39,-11.78,5.473B,6.547502127938192
3,2021-10-29,TUYA,Tuya Inc.,6.48,-0.81,-11.11,3.627B,154.320987654321
4,2021-10-29,MHK,"Mohawk Industries, Inc.",177.21,-21.85,-10.98,12.233B,5.643022402798939
5,2021-10-29,FTDR,"Frontdoor, Inc.",37.28,-4.54,-10.86,3.197B,26.824034334763947
6,2021-10-29,LSRCY,Lasertec Corporation,40.11,-4.77,-10.63,18.331B,24.93143854400399
7,2021-10-29,ALBHF,Alibaba Health Information Technology Limited,1.2,-0.14,-10.45,16.186B,833.3333333333334
8,2021-10-29,KMPR,Kemper Corporation,63.48,-7.08,-10.03,4.039B,15.75299306868305
9,2021-10-29,ADGI,"Adagio Therapeutics, Inc.",29.24,-3.21,-9.89,3.253B,34.19972640218879
10,2021-10-29,VCEL,Vericel Corporation,46.02,-5.05,-9.89,2.146B,21.729682746631898
11,2021-10-29,DVA,DaVita Inc.,103.24,-10.86,-9.52,10.813B,9.686168151879118
12,2021-10-29,LOPE,"Grand Canyon Education, Inc.",79.7,-8.25,-9.38,3.601B,12.547051442910915
13,2021-10-29,API,"Agora, Inc.",21.8,-2.25,-9.36,2.526B,45.87155963302752
14,2021-10-29,RLGY,Realogy Holdings Corp.,17.32,-1.76,-9.22,2.019B,57.736720554272516
15,2021-10-29,VTEX,VTEX,15.97,-1.53,-8.74,3.037B,62.61740763932373
16,2021-10-29,WDC,Western Digital Corporation,52.29,-4.99,-8.71,16.291B,19.124115509657678
17,2021-10-29,MONOY,"MonotaRO Co., Ltd.",21.3,-2.01,-8.62,10.699B,46.948356807511736
18,2021-10-29,MMYT,MakeMyTrip Limited,31.67,-2.94,-8.49,3.317B,31.575623618566464
19,2021-10-29,FUTU,Futu Holdings Limited,53.52,-4.95,-8.47,7.85B,18.684603886397607
20,2021-10-29,USNZY,Usinas Siderúrgicas de Minas Gerais S.A.,2.31,-0.21,-8.33,2.871B,432.9004329004329
21,2021-10-29,MNTV,Momentive Global Inc.,22.92,-2.0,-8.03,3.381B,43.630017452006975
22,2021-10-29,TFII,TFI International Inc.,110.83,-9.35,-7.78,10.309B,9.022827754218172
