,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-23,SNAP,Snap Inc.,55.14,-19.97,-26.59,88.764B,18.14
1,2021-10-23,MGNI,"Magnite, Inc.",25.93,-4.09,-13.62,3.403B,38.57
2,2021-10-23,BYND,"Beyond Meat, Inc.",95.8,-12.82,-11.8,6.06B,10.44
3,2021-10-23,INTC,Intel Corporation,49.46,-6.54,-11.68,201.154B,20.22
4,2021-10-23,WISH,ContextLogic Inc.,5.2,-0.62,-10.65,3.266B,192.31
5,2021-10-23,CRTO,Criteo S.A.,33.59,-3.86,-10.31,2.049B,29.77
6,2021-10-23,FCEL,"FuelCell Energy, Inc.",7.29,-0.82,-10.11,2.673B,137.17
