,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-23,GENI,Genius Sports Limited,10.19,-3.45,-25.29,2.029B,98.13542688910697
1,2021-11-23,ZM,"Zoom Video Communications, Inc.",206.64,-35.64,-14.71,61.399B,4.839334107626791
2,2021-11-23,GME,GameStop Corp.,213.9,-33.65,-13.59,16.362B,4.675081813931744
3,2021-11-23,PRTA,Prothena Corporation plc,51.17,-7.84,-13.29,2.384B,19.54270080125073
4,2021-11-23,ANF,Abercrombie & Fitch Co.,41.12,-5.92,-12.59,2.429B,24.319066147859925
5,2021-11-23,ALHC,"Alignment Healthcare, Inc.",18.12,-2.57,-12.42,3.393B,55.18763796909492
6,2021-11-23,BBY,"Best Buy Co., Inc.",121.01,-16.99,-12.31,29.764B,8.263779852904719
7,2021-11-23,DNA,"Ginkgo Bioworks Holdings, Inc.",12.1,-1.39,-10.3,17.989B,82.64462809917356
8,2021-11-23,TIL,"Instil Bio, Inc.",17.34,-1.96,-10.16,2.236B,57.67012687427913
9,2021-11-23,AVDX,"AvidXchange Holdings, Inc.",21.44,-2.35,-9.88,4.197B,46.64179104477612
10,2021-11-23,URBN,"Urban Outfitters, Inc.",33.8,-3.47,-9.31,3.325B,29.58579881656805
11,2021-11-23,PRVA,"Privia Health Group, Inc.",25.41,-2.58,-9.22,2.706B,39.354584809130266
12,2021-11-23,S,"SentinelOne, Inc.",58.26,-5.77,-9.01,15.441B,17.164435290078956
13,2021-11-23,OPEN,Opendoor Technologies Inc.,16.71,-1.64,-8.94,10.237B,59.844404548174744
14,2021-11-23,ASTR,"Astra Space, Inc.",10.19,-0.98,-8.77,2.632B,98.13542688910697
15,2021-11-23,OSTK,"Overstock.com, Inc.",92.75,-8.91,-8.76,3.99B,10.78167115902965
16,2021-11-23,CBRL,"Cracker Barrel Old Country Store, Inc.",130.45,-12.51,-8.75,3.067B,7.6657723265619016
17,2021-11-23,ZI,ZoomInfo Technologies Inc.,67.64,-6.37,-8.61,28.409B,14.78415138971023
18,2021-11-23,RKLB,"Rocket Lab USA, Inc.",14.55,-1.36,-8.55,6.536B,68.72852233676976
19,2021-11-23,DASH,"DoorDash, Inc.",184.31,-17.15,-8.51,63.229B,5.425641582117085
20,2021-11-23,ARVL,Arrival,8.93,-0.83,-8.5,5.54B,111.98208286674132
21,2021-11-23,FFIE,Faraday Future Intelligent Electric Inc.,6.57,-0.6,-8.37,2.131B,152.20700152207002
