,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-28,TWLO,Twilio Inc.,284.93,-60.73,-17.57,50.475B,3.5096339451795178
1,2021-10-28,ALNY,"Alnylam Pharmaceuticals, Inc.",162.14,-29.02,-15.18,19.27B,6.167509559639818
2,2021-10-28,PANHF,Ping An Healthcare and Technology Company Limited,5.65,-0.9,-13.74,6.565B,176.99115044247787
3,2021-10-28,THRM,Gentherm Incorporated,76.4,-12.11,-13.68,2.533B,13.089005235602093
4,2021-10-28,STEM,"Stem, Inc.",23.03,-3.62,-13.58,3.017B,43.42162396873643
5,2021-10-28,FUTU,Futu Holdings Limited,58.47,-8.55,-12.76,8.576B,17.10278775440397
6,2021-10-28,WEX,WEX Inc.,160.84,-23.33,-12.67,7.205B,6.217358865953742
7,2021-10-28,UPWK,Upwork Inc.,48.98,-5.94,-10.82,6.251B,20.41649652919559
8,2021-10-28,FOUR,"Shift4 Payments, Inc.",64.19,-7.74,-10.76,5.321B,15.578750584203148
9,2021-10-28,SWI,SolarWinds Corporation,16.63,-1.73,-9.42,2.628B,60.13229104028864
10,2021-10-28,SWMAY,Swedish Match AB (publ),8.12,-0.78,-8.76,12.683B,123.15270935960592
11,2021-10-28,FLS,Flowserve Corporation,32.94,-3.08,-8.55,4.291B,30.35822707953856
12,2021-10-28,NVCR,NovoCure Limited,101.74,-9.04,-8.16,10.545B,9.828975820719482
13,2021-10-28,SGMS,Scientific Games Corporation,82.0,-7.08,-7.95,7.902B,12.195121951219512
14,2021-10-28,NOC,Northrop Grumman Corporation,358.64,-29.51,-7.6,57.421B,2.788311398616998
