,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-26,DWAC,Digital World Acquisition Corp.,59.07,-24.79,-29.56,2.123B,16.929067208396816
1,2021-10-26,CVLT,"Commvault Systems, Inc.",61.04,-14.65,-19.36,2.8B,16.382699868938403
2,2021-10-26,EVGRF,China Evergrande New Energy Vehicle Group Limited,0.5,-0.1,-16.67,4.884B,2000.0
3,2021-10-26,CITAF,"COSCO SHIPPING Development Co., Ltd.",0.171,-0.029,-14.5,4.377B,5847.953216374269
4,2021-10-26,CAJ,Canon Inc.,21.54,-3.49,-13.94,22.526B,46.425255338904364
5,2021-10-26,BEKE,KE Holdings Inc.,20.8,-3.15,-13.15,24.771B,48.07692307692307
6,2021-10-26,DAN,Dana Incorporated,22.11,-3.07,-12.19,3.211B,45.228403437358665
7,2021-10-26,MP,MP Materials Corp.,33.48,-4.62,-12.13,5.951B,29.868578255675033
8,2021-10-26,NEU,NewMarket Corporation,332.01,-44.5,-11.82,3.628B,3.0119574711605073
9,2021-10-26,AKCCF,Aker Carbon Capture ASA,3.6,-0.48,-11.76,2.175B,277.77777777777777
10,2021-10-26,LMT,Lockheed Martin Corporation,331.91,-44.42,-11.8,91.911B,3.0128649332650417
11,2021-10-26,XRX,Xerox Holdings Corporation,18.2,-2.37,-11.52,3.248B,54.94505494505495
12,2021-10-26,GTLB,GitLab Inc.,108.94,-12.96,-10.63,15.58B,9.179364787956674
13,2021-10-26,CAJFF,Canon Inc.,21.69,-2.49,-10.32,23.416B,46.10419548178884
14,2021-10-26,SEKEF,Seiko Epson Corporation,17.65,-1.84,-9.44,6.107B,56.657223796033996
15,2021-10-26,KC,Kingsoft Cloud Holdings Limited,25.93,-2.65,-9.27,6.266B,38.565368299267256
16,2021-10-26,UPST,"Upstart Holdings, Inc.",327.08,-32.73,-9.1,25.436B,3.0573559985324694
17,2021-10-26,HNP,"Huaneng Power International, Inc.",17.87,-1.77,-9.01,7.013B,55.95970900951315
18,2021-10-26,RLX,RLX Technology Inc.,5.27,-0.51,-8.82,8.278B,189.75332068311198
19,2021-10-26,YMM,Full Truck Alliance Co. Ltd.,15.41,-1.45,-8.6,16.733B,64.89292667099286
20,2021-10-26,PJT,PJT Partners Inc.,81.36,-7.63,-8.57,3.34B,12.291052114060964
21,2021-10-26,PRG,"PROG Holdings, Inc.",42.47,-3.97,-8.55,2.824B,23.54603249352484
22,2021-10-26,VNET,"VNET Group, Inc.",16.77,-1.55,-8.46,2.41B,59.630292188431724
23,2021-10-26,EXAI,Exscientia plc,21.51,-1.98,-8.43,2.59B,46.49000464900046
24,2021-10-26,TUYA,Tuya Inc.,7.36,-0.65,-8.11,4.12B,135.8695652173913
