,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-17,STNE,StoneCo Ltd.,20.7,-10.96,-34.62,6.395B,48.309178743961354
1,2021-11-17,DLO,DLocal Limited,34.9,-12.1,-25.74,10.296B,28.653295128939828
2,2021-11-17,ARVL,Arrival,10.73,-2.52,-19.02,6.657B,93.19664492078284
3,2021-11-17,IQ,"iQIYI, Inc.",7.11,-1.48,-17.23,5.612B,140.64697609001405
4,2021-11-17,ROVR,"Rover Group, Inc.",11.74,-2.22,-15.9,2.057B,85.17887563884156
5,2021-11-17,PAG,"Penske Automotive Group, Inc.",98.43,-13.15,-11.79,7.707B,10.159504216194248
6,2021-11-17,ROKU,"Roku, Inc.",245.11,-31.35,-11.34,32.934B,4.079800905715801
7,2021-11-17,TUYA,Tuya Inc.,5.65,-0.7,-11.02,3.163B,176.99115044247787
8,2021-11-17,GPI,"Group 1 Automotive, Inc.",188.94,-22.56,-10.67,3.42B,5.292685508627078
9,2021-11-17,STEM,"Stem, Inc.",22.07,-2.6,-10.54,3.251B,45.31037607612143
10,2021-11-17,LAD,"Lithia Motors, Inc.",299.44,-34.75,-10.4,9.127B,3.339567192091905
11,2021-11-17,AN,"AutoNation, Inc.",117.75,-13.15,-10.05,7.717B,8.492569002123142
12,2021-11-17,UWMC,UWM Holdings Corporation,5.95,-0.66,-9.98,9.551B,168.0672268907563
13,2021-11-17,FSR,Fisker Inc.,21.41,-2.27,-9.59,6.339B,46.707146193367585
14,2021-11-17,PAGS,PagSeguro Digital Ltd.,32.55,-3.43,-9.53,10.704B,30.721966205837177
15,2021-11-17,ABCL,AbCellera Biologics Inc.,14.82,-1.54,-9.41,4.173B,67.47638326585695
16,2021-11-17,ABG,"Asbury Automotive Group, Inc.",166.29,-17.26,-9.4,3.847B,6.013590715015936
17,2021-11-17,WOLF,"Wolfspeed, Inc.",128.77,-13.1,-9.23,14.965B,7.765783955890346
18,2021-11-17,FOUR,"Shift4 Payments, Inc.",66.0,-6.62,-9.12,5.473B,15.151515151515152
19,2021-11-17,BILI,Bilibili Inc.,81.03,-7.99,-8.98,31.028B,12.34110823151919
20,2021-11-17,VCTR,"Victory Capital Holdings, Inc.",36.1,-3.4,-8.61,2.458B,27.700831024930746
21,2021-11-17,ATHM,Autohome Inc.,34.44,-3.18,-8.45,4.304B,29.036004645760745
22,2021-11-17,KRNT,Kornit Digital Ltd.,146.76,-13.47,-8.41,6.792B,6.8138457345325705
23,2021-11-17,CDNA,"CareDx, Inc",43.53,-3.97,-8.36,2.298B,22.97266253158741
