,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-03,Z,"Zillow Group, Inc.",65.47,-21.73,-24.92,16.513B,15.27417137620284
2,2021-11-03,PLTK,Playtika Holding Corp.,22.72,-6.8,-23.04,9.307B,44.014084507042256
3,2021-11-03,ZG,"Zillow Group, Inc.",65.86,-19.62,-22.95,16.946B,15.183723048891588
4,2021-11-03,APPS,"Digital Turbine, Inc.",72.81,-17.09,-19.01,6.997B,13.73437714599643
5,2021-11-03,TRQ,Turquoise Hill Resources Ltd.,10.21,-2.39,-18.97,2.056B,97.9431929480901
6,2021-11-03,OCGN,"Ocugen, Inc.",12.73,-2.94,-18.76,2.53B,78.55459544383346
7,2021-11-03,BCRX,"BioCryst Pharmaceuticals, Inc.",12.4,-2.74,-18.1,2.218B,80.64516129032258
8,2021-11-03,CAR,"Avis Budget Group, Inc.",298.09,-59.08,-16.54,19.836B,3.3546915361132545
9,2021-11-03,VWDRY,Vestas Wind Systems A/S,11.62,-2.15,-15.61,35.383B,86.05851979345955
11,2021-11-03,VWSYF,Vestas Wind Systems A/S,35.44,-6.06,-14.61,35.804B,28.216704288939052
12,2021-11-03,TX,Ternium S.A.,39.67,-6.7,-14.45,7.788B,25.207965717166623
13,2021-11-03,ATVI,"Activision Blizzard, Inc.",66.75,-10.92,-14.06,51.912B,14.9812734082397
14,2021-11-03,FRSH,Freshworks Inc.,43.06,-7.01,-14.0,12.119B,23.22340919647004
15,2021-11-03,BFAM,Bright Horizons Family Solutions Inc.,148.64,-20.58,-12.16,9.002B,6.727664155005383
16,2021-11-03,EXEL,"Exelixis, Inc.",19.24,-2.64,-12.07,6.062B,51.97505197505198
18,2021-11-03,COUR,"Coursera, Inc.",32.19,-3.84,-10.66,4.434B,31.06554830692762
19,2021-11-03,GCTAY,"Siemens Gamesa Renewable Energy, S.A.",4.575,-0.545,-10.64,15.684B,218.5792349726776
20,2021-11-03,CXM,"Sprinklr, Inc.",17.93,-2.08,-10.39,4.573B,55.77244841048522
21,2021-11-03,CRL,"Charles River Laboratories International, Inc.",387.81,-44.14,-10.22,19.544B,2.5785822954539594
22,2021-11-03,WING,Wingstop Inc.,151.48,-16.9,-10.04,4.506B,6.601531555320835
23,2021-11-03,EXPI,"eXp World Holdings, Inc.",45.94,-5.11,-10.01,6.727B,21.767522855899
24,2021-11-03,MANT,ManTech International Corporation,78.87,-8.63,-9.86,3.209B,12.679092177000125
