,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-25,PINS,"Pinterest, Inc.",50.68,-7.38,-12.71,32.67B,19.73164956590371
1,2021-10-25,DWAC,Digital World Acquisition Corp.,83.86,-10.34,-10.98,3.014B,11.924636298592892
2,2021-10-25,OBMP,"Theralink Technologies, Inc.",1.76,-0.16,-8.33,9.778B,568.1818181818181
3,2021-10-25,PBCRF,PT Bank Central Asia Tbk,0.52,-0.045,-7.96,64.103B,1923.076923076923
4,2021-10-25,GWH,"ESS Tech, Inc.",15.4,-1.29,-7.73,2.08B,64.93506493506493
5,2021-10-25,MCG,Membership Collective Group Inc.,10.94,-0.9,-7.6,2.232B,91.40767824497259
