,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-10-27,ARQQ,Arqit Quantum Inc.,19.11,-2.89,-13.14,2.295B,52.32862375719519
1,2021-10-27,LBRT,Liberty Oilfield Services Inc.,13.63,-1.95,-12.52,2.456B,73.36757153338225
2,2021-10-27,ROL,"Rollins, Inc.",35.08,-4.25,-10.81,17.262B,28.506271379703538
3,2021-10-27,TWTR,"Twitter, Inc.",54.81,-6.62,-10.78,43.737B,18.24484583105273
4,2021-10-27,ROCK,"Gibraltar Industries, Inc.",64.13,-7.61,-10.61,2.093B,15.593326056447841
5,2021-10-27,HOOD,"Robinhood Markets, Inc.",35.44,-4.13,-10.44,29.616B,28.216704288939052
6,2021-10-27,PRTA,Prothena Corporation plc,54.68,-6.34,-10.39,2.463B,18.2882223847842
7,2021-10-27,LILM,Lilium N.V.,8.16,-0.93,-10.23,2.321B,122.54901960784314
8,2021-10-27,VALN,Valneva SE,47.37,-5.32,-10.1,2.363B,21.110407430863418
9,2021-10-27,FISV,"Fiserv, Inc.",98.83,-11.01,-10.02,66.202B,10.118385105737124
10,2021-10-27,CSGP,"CoStar Group, Inc.",89.82,-9.92,-9.95,35.475B,11.133377866844802
11,2021-10-27,DT,"Dynatrace, Inc.",70.03,-7.67,-9.87,19.937B,14.27959445951735
12,2021-10-27,FBC,"Flagstar Bancorp, Inc.",49.92,-5.09,-9.25,2.639B,20.03205128205128
13,2021-10-27,ALKS,Alkermes plc,28.65,-2.86,-9.08,4.622B,34.904013961605585
14,2021-10-27,LC,LendingClub Corporation,31.62,-3.08,-8.88,3.118B,31.625553447185325
15,2021-10-27,GRMN,Garmin Ltd.,146.21,-14.09,-8.79,28.779B,6.839477463921756
16,2021-10-27,LGF-B,Lions Gate Entertainment Corp.,11.51,-1.09,-8.65,2.703B,86.88097306689835
17,2021-10-27,MPLN,MultiPlan Corporation,4.33,-0.41,-8.65,2.978B,230.94688221709006
18,2021-10-27,ATHM,Autohome Inc.,39.64,-3.74,-8.62,4.954B,25.22704339051463
19,2021-10-27,QS,QuantumScape Corporation,23.44,-2.19,-8.54,9.756B,42.66211604095563
20,2021-10-27,SIX,Six Flags Entertainment Corporation,42.3,-3.9,-8.44,3.632B,23.64066193853428
21,2021-10-27,LGF-A,Lions Gate Entertainment Corp.,12.94,-1.19,-8.42,2.709B,77.27975270479135
22,2021-10-27,TTGT,"TechTarget, Inc.",88.15,-7.93,-8.25,2.482B,11.344299489506522
23,2021-10-27,FJTSY,Fujitsu Limited,35.16,-3.14,-8.2,34.869B,28.441410693970425
24,2021-10-27,FIGS,"FIGS, Inc.",32.75,-2.9,-8.13,5.508B,30.53435114503817
