,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-29,NVAX,"Novavax, Inc.",193.96,-24.01,-11.02,14.665B,5.1557022066405445
1,2021-11-29,LTH,"Life Time Group Holdings, Inc.",19.96,-2.18,-9.85,3.853B,50.100200400801604
2,2021-11-29,WYNMY,"Wynn Macau, Limited",8.95,-0.86,-8.77,4.752B,111.731843575419
3,2021-11-29,LILM,Lilium N.V.,7.22,-0.65,-8.26,2.051B,138.50415512465375
4,2021-11-29,BRPHF,Galaxy Digital Holdings Ltd.,24.01,-2.15,-8.24,2.383B,41.649312786339024
5,2021-11-29,RLX,RLX Technology Inc.,5.07,-0.44,-7.99,7.964B,197.2386587771203
6,2021-11-29,ESMT,"EngageSmart, LLC",20.54,-1.75,-7.85,3.321B,48.685491723466406
7,2021-11-29,WB,Weibo Corporation,39.61,-3.18,-7.43,9.074B,25.246149962130776
8,2021-11-29,ATRC,"AtriCure, Inc.",66.0,-5.01,-7.06,3.031B,15.151515151515152
9,2021-11-29,MQ,"Marqeta, Inc.",20.51,-1.54,-6.98,11.078B,48.75670404680643
10,2021-11-29,AHCO,AdaptHealth Corp.,20.14,-1.46,-6.76,2.663B,49.65243296921549
11,2021-11-29,ZH,Zhihu Inc.,7.32,-0.53,-6.75,4.11B,136.61202185792348
12,2021-11-29,AXNX,"Axonics, Inc.",54.6,-3.91,-6.68,2.528B,18.315018315018314
13,2021-11-29,DDL,Dingdong (Cayman) Limited,22.42,-1.53,-6.39,5.292B,44.603033006244424
14,2021-11-29,DADA,Dada Nexus Limited,21.36,-1.43,-6.27,4.997B,46.81647940074907
15,2021-11-29,INSM,Insmed Incorporated,27.12,-1.81,-6.26,3.21B,36.87315634218289
16,2021-11-29,TDCX,TDCX Inc.,18.94,-1.26,-6.24,2.706B,52.798310454065465
17,2021-11-29,CLOV,"Clover Health Investments, Corp.",5.08,-0.33,-6.1,2.402B,196.8503937007874
18,2021-11-29,GTBIF,Green Thumb Industries Inc.,21.8,-1.4,-6.03,4.935B,45.87155963302752
