,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
0,2021-11-11,PSFE,Paysafe Limited,4.24,-3.03,-41.68,3.069B,235.84905660377356
1,2021-11-11,BHG,"Bright Health Group, Inc.",4.94,-2.36,-32.33,3.113B,202.42914979757083
2,2021-11-11,OSCR,"Oscar Health, Inc.",12.47,-4.05,-24.52,2.59B,80.19246190858058
3,2021-11-11,BMBL,Bumble Inc.,38.56,-9.19,-19.25,7.118B,25.933609958506224
4,2021-11-11,CRCT,"Cricut, Inc.",23.65,-5.25,-18.17,5.256B,42.28329809725159
5,2021-11-11,ESMT,"EngageSmart, LLC",26.58,-5.74,-17.76,4.278B,37.622272385252074
6,2021-11-11,LZ,"LegalZoom.com, Inc.",19.91,-3.88,-16.31,3.92B,50.22601707684581
7,2021-11-11,BLND,"Blend Labs, Inc.",12.96,-2.49,-16.12,2.943B,77.1604938271605
8,2021-11-11,RELY,"Remitly Global, Inc.",30.84,-5.66,-15.51,4.977B,32.425421530479895
9,2021-11-11,BYND,"Beyond Meat, Inc.",81.93,-12.55,-13.28,5.182B,12.205541315757353
10,2021-11-11,PWSC,"PowerSchool Holdings, Inc.",21.59,-3.21,-12.94,4.283B,46.317739694302915
11,2021-11-11,FIGS,"FIGS, Inc.",34.1,-4.88,-12.52,5.49B,29.325513196480937
12,2021-11-11,HAIN,"The Hain Celestial Group, Inc.",42.15,-5.94,-12.35,4.072B,23.72479240806643
13,2021-11-11,SDGR,"Schrödinger, Inc.",45.16,-6.0,-11.73,3.195B,22.143489813994687
14,2021-11-11,GWH,"ESS Tech, Inc.",15.02,-1.81,-10.75,2.029B,66.57789613848203
15,2021-11-11,CAE,CAE Inc.,29.8,-3.54,-10.62,9.492B,33.557046979865774
16,2021-11-11,DDL,Dingdong (Cayman) Limited,30.0,-3.37,-10.1,7.082B,33.333333333333336
17,2021-11-11,DDD,3D Systems Corporation,25.21,-2.83,-10.09,3.22B,39.66679888932963
18,2021-11-11,VRM,"Vroom, Inc.",18.59,-2.03,-9.84,2.545B,53.79236148466918
19,2021-11-11,OTLY,Oatly Group AB,11.3,-1.06,-8.58,6.687B,88.49557522123894
20,2021-11-11,BURL,"Burlington Stores, Inc.",269.82,-22.81,-7.79,18.004B,3.7061744866948336
21,2021-11-11,ODP,The ODP Corporation,39.77,-3.33,-7.73,2.05B,25.14458134272064
22,2021-11-11,DIS,The Walt Disney Company,162.11,-12.34,-7.07,294.575B,6.16865091604466
23,2021-11-11,TNRSF,Tenaris S.A.,11.8,-0.85,-6.72,13.93B,84.7457627118644
24,2021-11-11,CIFR,Cipher Mining Inc.,8.17,-0.57,-6.52,2.018B,122.39902080783354
