,Date,DayLosersTi,Day Losers Name,Price,Change,%Change,MC,SharesBought
60,2021-10-27,FJTSY,Fujitsu Limited,35.16,-3.14,-8.2,34.869B,28.441410693970425
61,2021-10-27,FIGS,"FIGS, Inc.",32.75,-2.9,-8.13,5.508B,30.53435114503817
62,2021-10-28,TWLO,Twilio Inc.,284.93,-60.73,-17.57,50.475B,3.5096339451795178
63,2021-10-28,ALNY,"Alnylam Pharmaceuticals, Inc.",162.14,-29.02,-15.18,19.27B,6.167509559639818
64,2021-10-28,PANHF,Ping An Healthcare and Technology Company Limited,5.65,-0.9,-13.74,6.565B,176.99115044247787
65,2021-10-28,THRM,Gentherm Incorporated,76.4,-12.11,-13.68,2.533B,13.089005235602093
66,2021-10-28,STEM,"Stem, Inc.",23.03,-3.62,-13.58,3.017B,43.42162396873643
67,2021-10-28,FUTU,Futu Holdings Limited,58.47,-8.55,-12.76,8.576B,17.10278775440397
68,2021-10-28,WEX,WEX Inc.,160.84,-23.33,-12.67,7.205B,6.217358865953742
69,2021-10-28,UPWK,Upwork Inc.,48.98,-5.94,-10.82,6.251B,20.41649652919559
70,2021-10-28,FOUR,"Shift4 Payments, Inc.",64.19,-7.74,-10.76,5.321B,15.578750584203148
71,2021-10-28,SWI,SolarWinds Corporation,16.63,-1.73,-9.42,2.628B,60.13229104028864
72,2021-10-28,SWMAY,Swedish Match AB (publ),8.12,-0.78,-8.76,12.683B,123.15270935960592
73,2021-10-28,FLS,Flowserve Corporation,32.94,-3.08,-8.55,4.291B,30.35822707953856
74,2021-10-28,NVCR,NovoCure Limited,101.74,-9.04,-8.16,10.545B,9.828975820719482
75,2021-10-28,SGMS,Scientific Games Corporation,82.0,-7.08,-7.95,7.902B,12.195121951219512
76,2021-10-28,NOC,Northrop Grumman Corporation,358.64,-29.51,-7.6,57.421B,2.788311398616998
77,2021-11-01,MRTX,"Mirati Therapeutics, Inc.",163.37,-25.65,-13.57,8.434B,6.121074860745547
78,2021-11-01,WBK,Westpac Banking Corporation,17.8,-1.75,-8.95,65.244B,56.17977528089887
79,2021-11-01,ZG,"Zillow Group, Inc.",96.61,-9.11,-8.62,24.141B,10.350895352447989
80,2021-11-02,CHGG,"Chegg, Inc.",32.12,-30.64,-48.82,4.647B,31.133250311332507
81,2021-11-02,SABR,Sabre Corporation,9.01,-1.79,-16.57,2.907B,110.98779134295228
82,2021-11-02,OPEN,Opendoor Technologies Inc.,21.12,-3.63,-14.67,12.77B,47.34848484848485
83,2021-11-02,LGIH,"LGI Homes, Inc.",135.89,-18.76,-12.13,3.345B,7.358893222459343
84,2021-11-02,MAX,"MediaAlpha, Inc.",16.0,-2.13,-11.75,963.2M,62.5
85,2021-11-02,LDI,"loanDepot, Inc.",7.1,-0.9,-11.25,1.801B,140.84507042253523
86,2021-11-02,BHG,"Bright Health Group, Inc.",7.61,-0.89,-10.47,4.796B,131.4060446780552
87,2021-11-02,Z,"Zillow Group, Inc.",87.2,-9.95,-10.24,22.077B,11.46788990825688
88,2021-11-02,NBIX,"Neurocrine Biosciences, Inc.",95.58,-10.64,-10.02,9.046B,10.462439840970914
89,2021-11-02,RL,Ralph Lauren Corporation,117.13,-12.62,-9.73,8.61B,8.53752241099633
90,2021-11-02,LOPE,"Grand Canyon Education, Inc.",79.58,-8.54,-9.69,3.426B,12.565971349585324
91,2021-11-02,LEG,"Leggett & Platt, Incorporated",43.54,-4.56,-9.48,5.804B,22.96738631143776
92,2021-11-02,KUASF,Kuaishou Technology,12.15,-1.25,-9.33,48.431B,82.30452674897118
93,2021-11-02,BHC,Bausch Health Companies Inc.,25.87,-2.66,-9.32,9.282B,38.65481252415925
94,2021-11-02,GPN,Global Payments Inc.,132.35,-13.47,-9.24,38.878B,7.555723460521345
95,2021-11-02,MOS,The Mosaic Company,37.64,-3.82,-9.21,14.299B,26.56748140276302
96,2021-11-02,DQ,Daqo New Energy Corp.,68.09,-6.91,-9.21,5.006B,14.6864444118079
97,2021-11-02,TWOU,"2U, Inc.",28.29,-2.85,-9.15,2.111B,35.34817956875221
98,2021-11-02,XMTR,"Xometry, Inc.",50.01,-5.01,-9.11,2.218B,19.99600079984004
99,2021-11-02,IAA,"IAA, Inc.",55.46,-5.37,-8.83,7.476B,18.03101334294988
100,2021-11-02,CIFR,Cipher Mining Inc.,8.99,-0.86,-8.73,2.221B,111.23470522803116
101,2021-11-02,ABG,"Asbury Automotive Group, Inc.",184.88,-17.14,-8.48,3.576B,5.4089138900908695
102,2021-11-02,INCY,Incyte Corporation,63.48,-5.87,-8.46,14.019B,15.75299306868305
103,2021-11-03,PLTK,Playtika Holding Corp.,22.72,-6.8,-23.04,9.307B,44.014084507042256
104,2021-11-03,APPS,"Digital Turbine, Inc.",72.81,-17.09,-19.01,6.997B,13.73437714599643
105,2021-11-03,TRQ,Turquoise Hill Resources Ltd.,10.21,-2.39,-18.97,2.056B,97.9431929480901
106,2021-11-03,OCGN,"Ocugen, Inc.",12.73,-2.94,-18.76,2.53B,78.55459544383346
107,2021-11-03,BCRX,"BioCryst Pharmaceuticals, Inc.",12.4,-2.74,-18.1,2.218B,80.64516129032258
108,2021-11-03,CAR,"Avis Budget Group, Inc.",298.09,-59.08,-16.54,19.836B,3.3546915361132545
109,2021-11-03,VWDRY,Vestas Wind Systems A/S,11.62,-2.15,-15.61,35.383B,86.05851979345955
110,2021-11-03,VWSYF,Vestas Wind Systems A/S,35.44,-6.06,-14.61,35.804B,28.21670428893905
111,2021-11-03,TX,Ternium S.A.,39.67,-6.7,-14.45,7.788B,25.207965717166623
112,2021-11-03,ATVI,"Activision Blizzard, Inc.",66.75,-10.92,-14.06,51.912B,14.9812734082397
113,2021-11-03,FRSH,Freshworks Inc.,43.06,-7.01,-14.0,12.119B,23.22340919647004
114,2021-11-03,BFAM,Bright Horizons Family Solutions Inc.,148.64,-20.58,-12.16,9.002B,6.727664155005383
115,2021-11-03,EXEL,"Exelixis, Inc.",19.24,-2.64,-12.07,6.062B,51.97505197505198
116,2021-11-03,COUR,"Coursera, Inc.",32.19,-3.84,-10.66,4.434B,31.06554830692762
117,2021-11-03,GCTAY,"Siemens Gamesa Renewable Energy, S.A.",4.575,-0.545,-10.64,15.684B,218.5792349726776
118,2021-11-03,CXM,"Sprinklr, Inc.",17.93,-2.08,-10.39,4.573B,55.77244841048522
119,2021-11-03,CRL,"Charles River Laboratories International, Inc.",387.81,-44.14,-10.22,19.544B,2.5785822954539594
120,2021-11-03,WING,Wingstop Inc.,151.48,-16.9,-10.04,4.506B,6.601531555320835
121,2021-11-03,EXPI,"eXp World Holdings, Inc.",45.94,-5.11,-10.01,6.727B,21.767522855899
122,2021-11-03,MANT,ManTech International Corporation,78.87,-8.63,-9.86,3.209B,12.679092177000124
123,2021-11-04,VMEO,"Vimeo, Inc.",24.49,-10.53,-30.07,4.032B,40.83299305839118
124,2021-11-04,LSPD,Lightspeed Commerce Inc.,71.36,-27.61,-27.9,10.521B,14.013452914798206
125,2021-11-04,QRTEA,"Qurate Retail, Inc.",8.22,-3.1,-27.39,3.349B,121.654501216545
126,2021-11-04,QRTEB,"Qurate Retail, Inc.",8.75,-2.71,-23.65,3.5B,114.28571428571428
127,2021-11-04,PENN,"Penn National Gaming, Inc.",57.4,-15.33,-21.08,9.707B,17.421602787456447
128,2021-11-04,RCII,"Rent-A-Center, Inc.",45.11,-10.17,-18.4,2.998B,22.16803369541121
129,2021-11-04,MRNA,"Moderna, Inc.",284.02,-61.9,-17.89,114.644B,3.5208788113513134
130,2021-11-04,NEO,"NeoGenomics, Inc.",38.35,-8.18,-17.58,4.716B,26.07561929595828
131,2021-11-04,ALXO,ALX Oncology Holdings Inc.,52.35,-9.58,-15.47,2.112B,19.10219675262655
132,2021-11-04,DISH,DISH Network Corporation,37.08,-6.01,-13.95,19.574B,26.96871628910464
133,2021-11-04,MTTR,"Matterport, Inc.",20.32,-3.26,-13.83,4.917B,49.21259842519685
134,2021-11-04,QRVO,"Qorvo, Inc.",154.46,-23.66,-13.28,17.167B,6.474168069403081
135,2021-11-04,NRG,"NRG Energy, Inc.",35.56,-4.44,-11.1,8.704B,28.1214848143982
136,2021-11-04,REGI,"Renewable Energy Group, Inc.",59.24,-6.82,-10.32,2.976B,16.88048615800135
137,2021-11-04,SKLZ,Skillz Inc.,11.4,-1.06,-8.51,4.594B,87.71929824561403
138,2021-11-04,MDU,"MDU Resources Group, Inc.",28.45,-2.64,-8.49,5.759B,35.1493848857645
139,2021-11-04,MQ,"Marqeta, Inc.",28.23,-2.58,-8.37,15.227B,35.423308537017355
