Date,SNAP,DWAC,OBMP,TUYA,ROL,FOUR,SWI,MRTX,ZG,CHGG,BHG,Z,PLTK,LSPD,NVAX,PTON,LFST,OSH,CRON,SAVA,LMND,MARA,CERE,PSFE,OSCR,VRM,OTLY,INSD,FCFS,TGTX,STNE,VIPS,DNA,FFIE
2021-10-22,55.13999938964844,94.19999694824219,1.9199999570846558,7.559999942779541,38.89318084716797,76.9000015258789,18.68000030517578,190.2899932861328,93.68000030517578,59.86000061035156,8.9399995803833,92.20999908447266,27.829999923706055,95.86000061035156,134.55999755859375,93.83000183105469,10.9399995803833,46.91999816894531,5.650000095367432,45.709999084472656,63.470001220703125,49.459999084472656,40.34000015258789,8.100000381469727,17.0,20.540000915527344,14.010000228881836,14.5,90.65318298339844,31.399999618530273,36.84000015258789,12.460000038146973,13.140000343322754,8.989999771118164
2021-10-25,54.5,83.86000061035156,1.7599999904632568,8.010000228881836,39.05237579345703,77.66999816894531,18.34000015258789,186.38999938964844,96.36000061035156,58.779998779296875,9.069999694824219,95.43000030517578,28.459999084472656,97.36000061035156,135.35000610351562,96.5999984741211,11.050000190734863,46.27000045776367,5.559999942779541,47.810001373291016,65.01000213623047,54.689998626708984,40.09000015258789,7.539999961853027,16.969999313354492,20.229999542236328,14.170000076293945,16.25,93.13450622558594,32.130001068115234,37.75,12.460000038146973,14.279999732971191,9.020000457763672
2021-10-26,55.38999938964844,59.06999969482422,1.7000000476837158,7.360000133514404,39.13197708129883,78.23999786376953,18.479999542236328,188.08999633789062,96.19000244140625,59.029998779296875,9.420000076293945,95.47000122070312,28.280000686645508,95.12999725341797,134.99000549316406,93.45999908447266,11.59000015258789,45.04999923706055,5.480000019073486,47.16999816894531,62.599998474121094,52.86000061035156,39.11000061035156,7.550000190734863,16.950000762939453,19.530000686645508,13.890000343322754,19.5,93.71248626708984,31.739999771118164,36.45000076293945,11.880000114440918,14.479999542236328,8.5600004196167
2021-10-27,52.02000045776367,64.88999938964844,1.5099999904632568,7.010000228881836,34.90337371826172,71.93000030517578,18.360000610351562,186.9499969482422,94.4000015258789,58.279998779296875,8.699999809265137,93.18000030517578,28.59000015258789,91.87000274658203,141.5500030517578,88.44999694824219,11.390000343322754,45.189998626708984,5.289999961853027,44.61000061035156,60.779998779296875,50.040000915527344,39.970001220703125,7.360000133514404,16.940000534057617,19.110000610351562,12.989999771118164,24.209999084472656,93.02488708496094,31.059999465942383,33.810001373291016,11.680000305175781,14.329999923706055,8.1899995803833
2021-10-28,54.38999938964844,72.76000213623047,1.809999942779541,7.289999961853027,34.64468002319336,64.19000244140625,16.6299991607666,187.85000610351562,100.55999755859375,58.09000015258789,9.0,98.5999984741211,29.010000228881836,98.11000061035156,150.6199951171875,90.30999755859375,11.90999984741211,46.93000030517578,5.28000020980835,44.459999084472656,63.369998931884766,50.38999938964844,41.400001525878906,7.53000020980835,17.15999984741211,19.540000915527344,13.329999923706055,20.489999771118164,90.5335922241211,31.579999923706055,34.61000061035156,11.449999809265137,14.279999732971191,9.069999694824219
2021-10-29,52.58000183105469,67.75,2.5,6.480000019073486,35.052616119384766,63.130001068115234,16.100000381469727,189.02000427246094,105.72000122070312,59.439998626708984,8.75,103.62999725341797,28.280000686645508,97.69000244140625,148.8300018310547,91.44000244140625,11.979999542236328,47.22999954223633,5.190000057220459,43.130001068115234,62.15999984741211,52.2400016784668,40.650001525878906,7.800000190734863,17.280000686645508,19.1299991607666,12.890000343322754,22.850000381469727,88.1618881225586,31.219999313354492,33.86000061035156,11.15999984741211,13.819999694824219,8.579999923706055
2021-11-01,53.97999954223633,60.81999969482422,2.359999895095825,6.760000228881836,34.02780532836914,63.77000045776367,15.850000381469727,163.3699951171875,96.61000061035156,62.7599983215332,8.5,97.1500015258789,29.68000030517578,101.20999908447266,172.4499969482422,92.83000183105469,12.84000015258789,48.529998779296875,5.420000076293945,46.11000061035156,65.91999816894531,55.5099983215332,40.900001525878906,7.960000038146973,17.139999389648438,20.440000534057617,13.1899995803833,26.450000762939453,87.4344253540039,32.72999954223633,33.88999938964844,11.920000076293945,13.789999961853027,8.829999923706055
2021-11-02,52.20000076293945,64.95999908447266,2.25,6.579999923706055,34.953121185302734,59.22999954223633,16.350000381469727,167.16000366210938,85.4800033569336,32.119998931884766,7.610000133514404,87.19999694824219,29.520000457763672,97.4800033569336,195.3000030517578,89.37000274658203,12.420000076293945,45.58000183105469,5.360000133514404,58.06999969482422,68.3499984741211,63.34000015258789,42.13999938964844,7.71999979019165,16.889999389648438,20.040000915527344,12.829999923706055,27.0,86.4977035522461,32.77000045776367,32.04999923706055,11.460000038146973,13.399999618530273,8.640000343322754
2021-11-03,52.939998626708984,63.25,2.2100000381469727,6.53000020980835,34.94316864013672,59.16999816894531,16.739999771118164,170.35000610351562,65.86000061035156,34.08000183105469,7.900000095367432,65.47000122070312,22.719999313354492,98.97000122070312,195.1999969482422,89.9000015258789,13.140000343322754,44.970001220703125,5.519999980926514,56.65999984741211,72.05999755859375,64.66000366210938,44.380001068115234,7.730000019073486,16.8799991607666,19.8799991607666,13.670000076293945,33.5,86.63721466064453,32.90999984741211,31.799999237060547,11.520000457763672,14.1899995803833,8.5600004196167
2021-11-04,52.2599983215332,58.84000015258789,2.4100000858306885,6.119999885559082,36.10728073120117,58.349998474121094,16.90999984741211,167.4199981689453,68.5199966430664,31.6299991607666,7.650000095367432,67.4800033569336,22.579999923706055,71.36000061035156,179.41000366210938,86.05999755859375,13.100000381469727,46.220001220703125,5.409999847412109,84.4000015258789,71.38999938964844,64.29000091552734,44.63999938964844,7.53000020980835,16.969999313354492,19.469999313354492,13.1899995803833,41.25,85.51114654541016,34.849998474121094,30.989999771118164,11.25,14.40999984741211,8.359999656677246
