Ticker,Article Title
['INSD'],Instadose Pharma Corp. Investigated by Block & Leviton For Potential Securities Law Violations; Investors Who Have Lost Money Are Encouraged to Contact the Firm
['INSD'],"INVESTIGATION NOTICE: The Schall Law Firm Encourages Investors in Instadose Pharma Corp. with Losses of $100,000 to Contact the Firm"
['FCFS'],FirstCash Inc. Investigated by Block & Leviton For Potential Securities Law Violations; Investors Who Have Lost Money Are Encouraged to Contact the Firm
['FCFS'],"FCFS EQUITY ALERT: ROSEN, A TOP RANKED LAW FIRM, Encourages FirstCash, Inc. Investors with Losses Exceeding $100K to Inquire About Class Action Investigation – FCFS"
